"","Symbol","Date","Prev.Close","Open.Price","High.Price","Low.Price","Close.Price","Average.Price","Total.Traded.Quantity","MA30","MA50","MA100","MA200"
"2044","AXISBANK","8-Oct-07",738.9,740,747.7,689,715.65,711.61,364012,682.6366667,650.732,626.0335,559.80025
"2045","AXISBANK","9-Oct-07",715.65,705,734.7,699.1,729.55,717.23,375349,687.7066667,653.036,627.9615,561.08575
"2046","AXISBANK","10-Oct-07",729.55,739.95,766,736.25,762.2,755.58,666478,693.1166667,655.497,630.026,562.55625
"2047","AXISBANK","11-Oct-07",762.2,768,770,748,759.75,761.84,507316,698.025,658.174,631.9585,564.0385
"2048","AXISBANK","12-Oct-07",759.75,760,767.75,740,744.05,750.99,232221,701.8383333,660.695,633.586,565.4305
"2049","AXISBANK","15-Oct-07",744.05,753,831,752,820,796.98,1316528,708.005,664.688,636.067,567.224
"2050","AXISBANK","16-Oct-07",820,834.7,903,823.1,886.7,863.53,1528678,716.3166667,669.999,639.2895,569.3395
"2051","AXISBANK","17-Oct-07",886.7,801,880,709.4,872.15,836.54,1408050,723.4266667,675.036,642.458,571.36675
"2052","AXISBANK","18-Oct-07",872.15,898.7,898.7,845,857.1,874.61,1122762,729.775,679.903,645.41,573.37025
"2053","AXISBANK","19-Oct-07",857.1,869,869,815,829.85,830.88,717417,735.445,683.983,648.1105,575.1715
"2054","AXISBANK","22-Oct-07",829.85,812,849.4,790,819,810.79,683447,741.0383333,688.222,650.551,576.927
"2055","AXISBANK","23-Oct-07",819,821.1,898,821.1,868.85,868.15,723976,748.3466667,693.812,653.4695,578.898
"2056","AXISBANK","24-Oct-07",868.85,869.8,893.9,848.5,866.4,868.61,558274,755.6616667,699.135,656.375,580.85875
"2057","AXISBANK","25-Oct-07",866.4,860,884.95,840.05,873.85,859.65,614841,763.2366667,704.662,659.3265,582.86375
"2058","AXISBANK","26-Oct-07",873.85,872,945,853,926.1,901.66,576833,772.1233333,712.027,662.832,585.1665
"2059","AXISBANK","29-Oct-07",926.1,928,956.9,910.05,929.05,939.86,655318,781.425,719.105,666.4235,587.4755
"2060","AXISBANK","30-Oct-07",929.05,932,944.7,900,908.35,924.62,705040,789.7483333,725.179,669.9175,589.70925
"2061","AXISBANK","31-Oct-07",908.35,908.1,925,904.05,917.35,914.62,261176,798.3166667,731.708,673.4325,591.90325
"2062","AXISBANK","1-Nov-07",917.35,925,944,888,917.85,917.74,489757,806.105,738.414,676.7475,593.9935
"2063","AXISBANK","2-Nov-07",917.85,901,940,880.2,932.15,920.09,232995,813.6383333,745.407,680.2185,595.98775
"2064","AXISBANK","5-Nov-07",932.15,934,1010,911.15,973,976.95,1124891,822.415,753.448,684.09,598.097
"2065","AXISBANK","6-Nov-07",973,985,1003.5,926.3,946.4,975.1,541088,829.5583333,760.827,687.5565,600.091
"2066","AXISBANK","7-Nov-07",946.4,958.5,998,921,932.45,949.61,464193,835.9883333,767.478,690.787,602.0185
"2067","AXISBANK","8-Nov-07",932.45,944,944,890.65,921.05,913.22,435268,841.4983333,773.649,693.863,603.9475
"2068","AXISBANK","9-Nov-07",921.05,929.7,945,903.1,914.2,920.64,29478,846.3483333,779.34,696.8,605.78675
"2069","AXISBANK","12-Nov-07",914.2,910,915.25,870.35,887.4,891.16,717311,850.4416667,784.388,699.492,607.678
"2070","AXISBANK","13-Nov-07",887.4,890.6,960,881.25,945.5,930.83,529265,856.9083333,790.551,702.804,609.86025
"2071","AXISBANK","14-Nov-07",945.5,965.5,998.95,961.25,990.65,982.38,607929,864.6766667,797.187,706.5485,612.24175
"2072","AXISBANK","15-Nov-07",990.65,990.5,999.8,956.15,963.5,976.24,281834,871.6333333,803.124,710.1835,614.53925
"2073","AXISBANK","16-Nov-07",963.5,945.5,985.9,943,978.3,977.12,157730,879.6133333,809.495,714.064,616.75775
