Symbol,Date,Prev.Close,Open.Price,High.Price,Low.Price,Close.Price,Average.Price,Total.Traded.Quantity,MA30,MA50,MA100,MA200
UTIBANK,12-Jun-00,35.45,35.9,35.9,32.65,32.7,34.13,56200,35.57666667,35.409,35.3025,28.8
UTIBANK,13-Jun-00,32.7,32,33.7,32,32.85,32.71,47826,35.47666667,35.331,35.221,28.878
UTIBANK,14-Jun-00,32.85,34,34.1,33,33.2,33.58,35160,35.375,35.201,35.1565,28.9585
UTIBANK,15-Jun-00,33.2,33.45,33.8,33,33.45,33.39,13525,35.28833333,35.092,35.091,29.0415
UTIBANK,16-Jun-00,33.45,33.5,34,32.65,33.9,33.33,42226,35.22833333,35.054,35.0505,29.121
UTIBANK,19-Jun-00,33.9,33.75,34.4,33.7,33.9,33.99,34211,35.205,35.038,35.002,29.2005
UTIBANK,20-Jun-00,33.9,34,34,33,33.75,33.81,44879,35.125,35.057,34.979,29.28225
UTIBANK,21-Jun-00,33.75,33.1,34,33.1,33.6,33.84,23385,35.05166667,35.02,34.9255,29.35975
UTIBANK,22-Jun-00,33.6,33.7,34,33.6,33.75,33.78,22550,35.005,34.936,34.842,29.4385
UTIBANK,23-Jun-00,33.75,33.65,33.95,33.15,33.3,33.61,18700,34.94,34.868,34.7875,29.51425
UTIBANK,26-Jun-00,33.3,33,33.5,32.6,32.85,32.85,18105,34.85333333,34.786,34.7595,29.58825
UTIBANK,27-Jun-00,32.85,32.55,33.4,32.25,32.55,32.71,26628,34.76,34.737,34.704,29.66325
UTIBANK,28-Jun-00,32.55,32.7,33.4,32.5,33,32.9,13170,34.61833333,34.716,34.649,29.74
UTIBANK,29-Jun-00,33,33.6,33.6,32.7,32.9,32.9,13170,34.49,34.686,34.591,29.807
UTIBANK,30-Jun-00,32.9,32.95,33.35,32.5,33,32.72,11225,34.355,34.669,34.555,29.882
UTIBANK,3-Jul-00,33,33.45,34.2,32.6,33.55,33.46,32314,34.26833333,34.671,34.5205,29.96
UTIBANK,4-Jul-00,33.55,33.05,33.9,33,33.1,33.29,32291,34.205,34.682,34.4975,30.03675
UTIBANK,5-Jul-00,33.1,33.85,33.9,33,33.5,33.31,14975,34.14333333,34.73,34.4625,30.11325
UTIBANK,6-Jul-00,33.5,33.8,34.8,33.1,34.45,34.13,32902,34.12166667,34.747,34.4695,30.1955
UTIBANK,7-Jul-00,34.45,34.15,34.95,33.7,33.85,34.11,22583,34.085,34.725,34.4625,30.276
UTIBANK,10-Jul-00,33.85,33.1,34,33,33.7,33.5,29960,34.02666667,34.709,34.427,30.35525
UTIBANK,11-Jul-00,33.7,33.9,33.9,33.1,33.25,33.34,35795,33.95833333,34.657,34.386,30.434
UTIBANK,12-Jul-00,33.25,33.85,35,33.4,34.85,34.53,61265,33.91666667,34.629,34.3445,30.52075
UTIBANK,13-Jul-00,34.85,35.5,37.65,34.75,37.65,36.62,203782,33.985,34.661,34.3265,30.62775
UTIBANK,14-Jul-00,29.1,40,40,40,40,40,200,34.14666667,34.747,34.338,30.74675
UTIBANK,14-Jul-00,37.65,39.15,40.7,35.55,40.7,39.33,292396,34.32333333,34.869,34.34,30.869
UTIBANK,17-Jul-00,40.7,42.9,43.65,38.75,39.05,41.25,203216,34.44333333,34.927,34.368,30.983
UTIBANK,18-Jul-00,39.05,38.25,40.4,37.8,39.6,39.1,145374,34.57666667,35.003,34.3725,31.101
UTIBANK,19-Jul-00,39.6,39.4,42.8,39.4,42.25,42.33,370407,34.78833333,35.145,34.413,31.23125
UTIBANK,20-Jul-00,42.25,41.3,42.4,40.5,40.9,41.39,118820,34.97,35.258,34.4665,31.35475
